Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000178369551553661,0.00149077290750217,-0.000359711928960869,0,0,0,0.158098732405424,0.000153851216242209,-1.14272913956443E-06,1.10735125502593E-08,0.000217118434161234,-1.96328376479071E-06,0.000154504336827899,0,0,0,0,0,0,package://threefingerv8/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
move_link,2.12982875964774E-17,0.00680756785766646,-1.40497362985593E-17,0,0,0,0.0085021271877303,9.76418874057011E-07,5.21940490933867E-23,2.76643146367182E-21,1.86965817859979E-06,-2.18801958274866E-23,9.76418874057014E-07,0,0,0,0,0,0,package://threefingerv8/meshes/move_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/move_link.STL,,移动块-1;移动块screw-1,Origin_move_joint,Axis_move_joint,move_joint,prismatic,0,0,0.024087,1.5708,0,0,base_link,0,1,0,5000,2,-0.5,0.5,,,,,,,,
11_link,-0.00649999999998663,-1.10866177349678E-14,0.015,0,0,0,0.0023425840131754,4.99013749037845E-07,0,-4.5306118998929E-24,5.48312815441792E-07,-5.81408815034905E-23,7.32310540795453E-08,0,0,0,0,0,0,package://threefingerv8/meshes/11_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/11_link.STL,,工形连杆-2,axis11,11,11_joint,revolute,0.015,0.007,-0.0195,1.5708,-0.43528,-1.5708,move_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
12_link,-0.0293208969248082,-0.00876107376234852,0.0190000001135646,0,0,0,0.0122579255984349,9.8466089201607E-07,1.31799544484654E-06,-2.57676351638825E-14,7.20160465350243E-06,1.09652705676399E-14,7.77283391142853E-06,0,0,0,0,0,0,package://threefingerv8/meshes/12_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/12_link.STL,,L形指尖-1,axis12,12,12_joint,revolute,-0.013,0,-0.004,0,0,0,11_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
21_link,0.00649999999998662,-1.10068204550728E-14,-0.019,0,0,0,0.0023425840131754,4.99013749037845E-07,-8.60267837055149E-23,-1.05879118406788E-22,5.48312815441792E-07,-6.94831714544543E-23,7.32310540795453E-08,0,0,0,0,0,0,package://threefingerv8/meshes/21_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/21_link.STL,,工形连杆-3,axis21,21,21_joint,revolute,-0.0263874953737968,0.00700000000001386,-0.00670448267190406,-2.65931138123083,-0.212425490096555,1.95364858543396,move_link,0,0,1,5000,2,-1.57,1.57,,,,,,,,
22_link,0.0293216343766779,-0.00876108435080183,-0.0190000103494336,0,0,0,0.0122572499897457,9.84650226311452E-07,-1.31798330895562E-06,-1.09743409221826E-12,7.20145547037363E-06,3.40750819919882E-13,7.77268089083732E-06,0,0,0,0,0,0,package://threefingerv8/meshes/22_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/22_link.STL,,L形指尖-2,axis22,22,22_joint,revolute,0.013,0,0,0,0,0,21_link,0,0,1,5000,2,-1.57,1.57,,,,,,,,
31_link,-0.00649999999998662,-1.10796788410639E-14,0.019,0,0,0,0.0023425840131754,4.99013749037844E-07,4.63221143029695E-23,-1.40620704134015E-23,5.48312815441792E-07,1.86942818436984E-22,7.32310540795452E-08,0,0,0,0,0,0,package://threefingerv8/meshes/31_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/31_link.STL,,工形连杆-1,axis31,31,31_joint,revolute,0.00738749537379796,0.00700000000001319,0.0262044826719049,-2.65931138123085,0.212425490096565,-1.95364858543399,move_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
32_link,0.0293216345242489,-0.0087610842961356,-0.0189999898761313,0,0,0,0.0122572498826078,9.84650224489367E-07,-1.31798329819406E-06,1.04568287386481E-12,7.20145543798657E-06,-3.61695921990803E-13,7.77268085824628E-06,0,0,0,0,0,0,package://threefingerv8/meshes/32_link.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/32_link.STL,,L形指尖-3,axis32,32,32_joint,revolute,-0.013,0,0,3.14159265358979,0,3.14159265358979,31_link,0,0,1,5000,2,-1.57,1.57,,,,,,,,
12_link2,-0.0293208969248082,-0.00876107376234853,0.0190000001135646,0,0,0,0.0122579255984349,9.8466089201607E-07,1.31799544484654E-06,-2.57676351638825E-14,7.20160465350243E-06,1.09652705676399E-14,7.77283391142853E-06,0,0,0,0,0,0,package://threefingerv8/meshes/12_link2.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/12_link2.STL,,L形指尖-1,axis12,13,12_joint2,revolute,0.019,0.024982,0.042875,1.5708,1.1355,-1.5708,base_link,0,0,1,5000,2,-1.57,1.57,,,,,,,,
22_link2,0.0293216343766779,-0.00876108435080183,-0.0190000103494336,0,0,0,0.0122572499897457,9.84650226311452E-07,-1.31798330895562E-06,-1.09743409248296E-12,7.20145547037363E-06,3.40750820555156E-13,7.77268089083732E-06,0,0,0,0,0,0,package://threefingerv8/meshes/22_link2.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/22_link2.STL,,L形指尖-2,axis22,23,22_joint2,revolute,-0.031135,0.0039637,0.042875,1.5708,-1.1355,-2.618,base_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
32_link2,0.0293216345242489,-0.00876108429613561,-0.0189999898761313,0,0,0,0.0122572498826078,9.84650224489367E-07,-1.31798329819406E-06,1.04568287386481E-12,7.20145543798657E-06,-3.61695921990803E-13,7.77268085824628E-06,0,0,0,0,0,0,package://threefingerv8/meshes/32_link2.STL,1,1,1,1,0,0,0,0,0,0,package://threefingerv8/meshes/32_link2.STL,,L形指尖-3,axis32,33,32_joint2,revolute,0.012135,-0.028945,0.042875,1.5708,-1.1355,-0.5236,base_link,0,0,-1,5000,2,-1.57,1.57,,,,,,,,
